registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year
4319,United Kingdom,Ireland,2015-12-05 00:00:00,2016-01-06 00:00:00,33,3,64000,,Heavy Rain,,,extreme,36750.19,6.384803524,-2.77486,54.9868,Europe,Northern Europe,150.0,154.0,2015
4318,Philippines,,2015-12-12 00:00:00,2016-01-06 00:00:00,26,40,20000,,Hurricane/Tropical Storm,,,very large,6147.67,5.379775154,121.229,12.8357,Asia,South-Eastern Asia,142.0,35.0,2015
4317,Kenya,,2015-12-01 00:00:00,2016-01-06 00:00:00,37,112,100000,,Heavy Rain,,,very large,103769.52,6.760362791,39.5133,-2.0364299999999997,Africa,Eastern Africa,2.0,14.0,2015
4316,Australia,,2015-12-23 00:00:00,2016-01-06 00:00:00,15,0,0,,Heavy Rain,,,large,66654.94,5.999923601,152.121,-30.3571,Oceania,Australia and New Zealand,9.0,53.0,2015
4315,Paraguay,Uruguay,2015-12-01 00:00:00,2016-01-06 00:00:00,37,12,170000,,Heavy Rain,,,extreme,574056.99,7.628186728999999,-55.8482,-26.0369,Americas,South America,19.0,5.0,2015
4314,United States,,2015-12-15 00:00:00,2016-01-06 00:00:00,23,31,4000,,Heavy Rain,,,extreme,526834.76,7.384432253,-91.0829,35.6658,Americas,Northern America,19.0,21.0,2015
4313,Albania,,2015-11-21 00:00:00,2015-12-04 00:00:00,14,1,300,,Heavy Rain,,,large,11409.69,5.2034018810000005,19.9659,41.2871,Europe,Southern Europe,150.0,39.0,2015
4312,Maldives,,2015-11-25 00:00:00,2015-12-04 00:00:00,10,0,0,,Heavy Rain,,,very large,6371.38,4.980324767,73.1892,-0.144295,Asia,Southern Asia,142.0,34.0,2015
4311,United States,,2015-11-26 00:00:00,2015-12-04 00:00:00,9,14,300,,Heavy Rain,,,large,439381.83,6.597084603,-100.238,33.9839,Americas,Northern America,19.0,21.0,2015
4310,Qatar,Saudi Arabia,2015-11-25 00:00:00,2015-12-04 00:00:00,10,1,0,,Heavy Rain,,,large,402659.81,6.604938284,51.885,21.6586,Asia,Western Asia,142.0,145.0,2015
4309,India,,2015-11-10 00:00:00,2015-12-04 00:00:00,25,180,400000,,Hurricane/Tropical Storm,,,extreme,93202.05,6.668395469,78.8554,11.8278,Asia,Southern Asia,142.0,34.0,2015
4308,Indonesia,,2015-10-23 00:00:00,2015-10-28 00:00:00,6,0,4000,,Heavy Rain,,,large,56237.12,5.528174322000001,98.4028,3.66137,Asia,South-Eastern Asia,142.0,35.0,2015
4307,Greece,Macedonia,2015-10-21 00:00:00,2015-10-28 00:00:00,8,1,0,,Heavy Rain,,,large,129124.64,6.014099111,21.698,39.7609,Europe,Southern Europe,150.0,39.0,2015
4306,Bahamas,,2015-10-02 00:00:00,2015-10-08 00:00:00,7,0,300,,Hurricane/Tropical Storm,,,very large,4639.41,4.687652053,-73.8324,22.4916,Americas,Caribbean,19.0,29.0,2015
