registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year,GDPmil,GDPrank,Income Group OECD
4319,United Kingdom,Ireland,12/5/15 0:00,1/6/16 0:00,33,3,64000,,Heavy Rain,,,extreme,36750.19,6.384803524,-2.77486,54.9868,Europe,Northern Europe,150,154,2015,2988893,5,High income: OECD
4318,Philippines,,12/12/15 0:00,1/6/16 0:00,26,40,20000,,Hurricane/Tropical Storm,,,very large,6147.67,5.379775154,121.229,12.8357,Asia,South-Eastern Asia,142,35,2015,284777,40,Lower middle income
4317,Kenya,,12/1/15 0:00,1/6/16 0:00,37,112,100000,,Heavy Rain,,,very large,103769.52,6.760362791,39.5133,-2.03643,Africa,Eastern Africa,2,14,2015,60937,75,Lower middle income
4316,Australia,,12/23/15 0:00,1/6/16 0:00,15,0,0,,Heavy Rain,,,large,66654.94,5.999923601,152.121,-30.3571,Oceania,Australia and New Zealand,9,53,2015,1454675,12,High income: OECD
4315,Paraguay,Uruguay,12/1/15 0:00,1/6/16 0:00,37,12,170000,,Heavy Rain,,,extreme,574056.99,7.628186729,-55.8482,-26.0369,Americas,South America,19,5,2015,30881,101,Upper middle income
4314,United States,,12/15/15 0:00,1/6/16 0:00,23,31,4000,,Heavy Rain,,,extreme,526834.76,7.384432253,-91.0829,35.6658,Americas,Northern America,19,21,2015,17419000,1,High income: OECD
4313,Albania,,11/21/15 0:00,12/4/15 0:00,14,1,300,,Heavy Rain,,,large,11409.69,5.203401881,19.9659,41.2871,Europe,Southern Europe,150,39,2015,13212,127,Upper middle income
4312,Maldives,,11/25/15 0:00,12/4/15 0:00,10,0,0,,Heavy Rain,,,very large,6371.38,4.980324767,73.1892,-0.144295,Asia,Southern Asia,142,34,2015,3062,165,Upper middle income
4311,United States,,11/26/15 0:00,12/4/15 0:00,9,14,300,,Heavy Rain,,,large,439381.83,6.597084603,-100.238,33.9839,Americas,Northern America,19,21,2015,17419000,1,High income: OECD
4310,Qatar,Saudi Arabia,11/25/15 0:00,12/4/15 0:00,10,1,0,,Heavy Rain,,,large,402659.81,6.604938284,51.885,21.6586,Asia,Western Asia,142,145,2015,210109,50,High income: nonOECD
4309,India,,11/10/15 0:00,12/4/15 0:00,25,180,400000,,Hurricane/Tropical Storm,,,extreme,93202.05,6.668395469,78.8554,11.8278,Asia,Southern Asia,142,34,2015,2048517,9,Lower middle income
4308,Indonesia,,10/23/15 0:00,10/28/15 0:00,6,0,4000,,Heavy Rain,,,large,56237.12,5.528174322,98.4028,3.66137,Asia,South-Eastern Asia,142,35,2015,888538,16,Lower middle income
4307,Greece,Macedonia,10/21/15 0:00,10/28/15 0:00,8,1,0,,Heavy Rain,,,large,129124.64,6.014099111,21.698,39.7609,Europe,Southern Europe,150,39,2015,235574,45,High income: OECD
4306,Bahamas,,10/2/15 0:00,10/8/15 0:00,7,0,300,,Hurricane/Tropical Storm,,,very large,4639.41,4.687652053,-73.8324,22.4916,Americas,Caribbean,19,29,2015,8511,143,High income: nonOECD
4305,Egypt,,10/24/15 0:00,10/28/15 0:00,5,0,6,,Heavy Rain,,,very large,8231.84,4.790558184,30.4819,31.0422,Africa,Northern Africa,2,15,2015,286538,39,Lower middle income
4304,Somalia,Ethiopia,10/15/15 0:00,10/28/15 0:00,14,0,0,,Heavy Rain,,,large,438557.45,6.788154529,45.4022,4.70359,Africa,Eastern Africa,2,14,2015,5707,150,Low income
4303,Algeria,,10/16/15 0:00,10/28/15 0:00,13,0,3000,,Heavy Rain,,,large,92984.74,6.082355033,-6.95501,28.3337,Africa,Northern Africa,2,15,2015,213518,49,Upper middle income
4302,Mexico,United States,10/23/15 0:00,10/28/15 0:00,6,0,0,,Hurricane/Tropical Storm,,,very large,1432949.6,7.110473425,-101.772,28.3812,Americas,Central America,19,13,2015,1294690,15,Upper middle income
4301,Uruguay,Brazil,10/14/15 0:00,10/28/15 0:00,15,0,10000,,Heavy Rain,,,extreme,392899.19,7.071402388,-53.5718,-29.9568,Americas,South America,19,5,2015,57471,77,High income: nonOECD
4300,Philippines,,10/22/15 0:00,10/28/15 0:00,7,54,60000,,Hurricane/Tropical Storm,,,extreme,80271.75,6.050690767,121.241,16.691,Asia,South-Eastern Asia,142,35,2015,284777,40,Lower middle income
4299,Romania,,10/12/15 0:00,10/13/15 0:00,2,0,50,,Heavy Rain,,,very large,441.218,3.121774476,28.7321,44.6422,Europe,Eastern Europe,150,151,2015,199044,54,Upper middle income
4298,New Zealand,,9/20/15 0:00,10/1/15 0:00,12,0,0,,Heavy Rain,,,large,837.216,4.002018766,177.922,-38.6637,Oceania,Australia and New Zealand,9,53,2015,199970,53,High income: OECD
4297,Guatemala,,10/2/15 0:00,10/3/15 0:00,2,500,433,,Landslides/Avalanches,,,extreme,6023.19,4.381886554,-90.6128,14.8262,Americas,Central America,19,13,2015,58827,76,Lower middle income
4296,France,,10/3/15 0:00,10/7/15 0:00,5,16,0,,Heavy Rain,,,very large,2895.95,4.336852323,6.5302,43.3765,Europe,Western Europe,150,155,2015,2829192,6,High income: OECD
4295,United States,,10/1/15 0:00,10/13/15 0:00,13,15,800,,Heavy Rain,Hurricane/Tropical Storm,,extreme,61355.23,6.202824936,-80.4927,33.5033,Americas,Northern America,19,21,2015,17419000,1,High income: OECD
4294,Nigeria,,8/30/15 0:00,9/11/15 0:00,13,30,2000,,Heavy Rain,,,very large,186816.02,6.561448727,11.5284,9.95267,Africa,Western Africa,2,11,2015,568508,22,Lower middle income
4293,Vietnam,Laos,9/7/15 0:00,9/11/15 0:00,5,2,100,,Heavy Rain,,,large,192886.73,5.984272355,104.762,20.5669,Asia,South-Eastern Asia,142,35,2015,186205,55,Lower middle income
4292,Japan,,9/9/15 0:00,9/11/15 0:00,3,3,100000,,Hurricane/Tropical Storm,,,extreme,52859.22,5.501272001,140.046,36.9375,Asia,Eastern Asia,142,30,2015,4601461,3,High income: OECD
4291,Niger,,7/25/15 0:00,8/19/15 0:00,26,4,3000,,Heavy Rain,,,very large,686734.83,7.427853682,2.49701,14.8417,Africa,Western Africa,2,11,2015,8169,144,Low income
4290,Argentina,,8/10/15 0:00,8/19/15 0:00,10,3,11000,,Heavy Rain,,,large,133852.96,6.12662798,-59.8071,-35.1086,Americas,South America,19,5,2015,537660,24,High income: nonOECD
4289,Uruguay,,8/17/15 0:00,8/19/15 0:00,3,0,4158,,Heavy Rain,,,very large,63707.6,5.457403758,-55.6997,-32.6329,Americas,South America,19,5,2015,57471,77,High income: nonOECD
4288,India,,8/13/15 0:00,9/11/15 0:00,30,5,18000,,Monsoon,,,large,69190.14,6.317165464,93.751,26.8946,Asia,Southern Asia,142,34,2015,2048517,9,Lower middle income
4287,Philippines,,8/2/15 0:00,8/5/15 0:00,4,7,0,,Heavy Rain,,,large,9791.46,4.592907445,125.052,7.39149,Asia,South-Eastern Asia,142,35,2015,284777,40,Lower middle income
4286,China,,8/2/15 0:00,8/5/15 0:00,4,8,0,,Heavy Rain,,,very large,53741.01,5.508457075,112.531,35.0925,Asia,Eastern Asia,142,30,2015,10354832,2,Upper middle income
4285,Guinea,,7/26/15 0:00,8/5/15 0:00,11,4,0,,Heavy Rain,,,large,22455.5,5.392715415,-13.4378,10.0395,Africa,Western Africa,2,11,2015,6624,149,Low income
4284,Macedonia,,8/3/15 0:00,8/5/15 0:00,3,4,0,,Heavy Rain,,,large,5957.41,4.252178745,21.1907,41.7575,,,,,2015,11324,137,Upper middle income
