registerNum,country1,durationDays,peopleDead,peopleDisplaced,mainCause1,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,year,HDI,lifeExp,yearsSchool,GNIPerCapita
4319,United Kingdom,33,3,64000,Heavy Rain,extreme,36750.19,6.384803524,-2.77486,54.9868,Europe,Northern Europe,2015,0.907,80.7,16.2,39267
4318,Philippines,26,40,20000,Hurricane/Tropical Storm,very large,6147.67,5.379775154,121.229,12.8357,Asia,South-Eastern Asia,2015,0.668,68.2,11.3,7915
4317,Kenya,37,112,100000,Heavy Rain,very large,103769.52,6.760362791,39.5133,-2.03643,Africa,Eastern Africa,2015,0.548,61.6,11,2762
4316,Australia,15,0,0,Heavy Rain,large,66654.94,5.999923601,152.121,-30.3571,Oceania,Australia and New Zealand,2015,0.935,82.4,20.2,42261
4315,Paraguay,37,12,170000,Heavy Rain,extreme,574056.99,7.628186729,-55.8482,-26.0369,Americas,South America,2015,0.679,72.9,11.9,7643
4314,United States,23,31,4000,Heavy Rain,extreme,526834.76,7.384432253,-91.0829,35.6658,Americas,Northern America,2015,0.915,79.1,16.5,52947
4313,Albania,14,1,300,Heavy Rain,large,11409.69,5.203401881,19.9659,41.2871,Europe,Southern Europe,2015,0.733,77.8,11.8,9943
4312,Maldives,10,0,0,Heavy Rain,very large,6371.38,4.980324767,73.1892,-0.144295,Asia,Southern Asia,2015,0.706,76.8,13,12328
4311,United States,9,14,300,Heavy Rain,large,439381.83,6.597084603,-100.238,33.9839,Americas,Northern America,2015,0.915,79.1,16.5,52947
4310,Qatar,10,1,0,Heavy Rain,large,402659.81,6.604938284,51.885,21.6586,Asia,Western Asia,2015,0.85,78.2,13.8,123124
4309,India,25,180,400000,Hurricane/Tropical Storm,extreme,93202.05,6.668395469,78.8554,11.8278,Asia,Southern Asia,2015,0.609,68,11.7,5497
4308,Indonesia,6,0,4000,Heavy Rain,large,56237.12,5.528174322,98.4028,3.66137,Asia,South-Eastern Asia,2015,0.684,68.9,13,9788
4307,Greece,8,1,0,Heavy Rain,large,129124.64,6.014099111,21.698,39.7609,Europe,Southern Europe,2015,0.865,80.9,17.6,24524
4306,Bahamas,7,0,300,Hurricane/Tropical Storm,very large,4639.41,4.687652053,-73.8324,22.4916,Americas,Caribbean,2015,0.79,75.4,12.6,21336
4305,Egypt,5,0,6,Heavy Rain,very large,8231.84,4.790558184,30.4819,31.0422,Africa,Northern Africa,2015,0.69,71.1,13.5,10512
